NAME,GEOID,totpop_16,totpop_17,totpop_18,totpopdens_16,totpopdens_17,totpopdens_18,Area_km2
"Census Tract 808, Mayaguez ",72097080800,233,201,200,177,152,152,1.31904445
"Census Tract 809, Mayaguez ",72097080900,126,118,100,606,568,481,0.20782156
"Census Tract 810, Mayaguez ",72097081000,132,119,100,558,503,423,0.23665231
"Census Tract 811, Mayaguez ",72097081100,104,108,100,452,469,435,0.23013657
"Census Tract 812, Mayaguez ",72097081200,202,196,200,178,173,177,1.13235585
"Census Tract 813, Mayaguez ",72097081300,175,159,150,150,136,129,1.16610095
"Census Tract 815.01, Mayaguez ",72097081501,307,305,300,70,69,68,4.40434115
"Census Tract 815.12, Mayaguez ",72097081512,234,235,250,3,4,4,66.90354477
"Census Tract 815.22, Mayaguez ",72097081522,280,259,250,26,24,24,10.59515594
"Census Tract 816.01, Mayaguez ",72097081601,323,284,300,16,14,15,19.74589589
"Census Tract 816.02, Mayaguez ",72097081602,238,215,200,16,14,13,15.28936764
"Census Tract 817, Mayaguez ",72097081700,237,193,200,48,39,40,4.93898838
"Census Tract 818, Mayaguez ",72097081800,245,234,250,15,14,15,16.75875887
"Census Tract 819, Mayaguez ",72097081900,207,174,150,7,6,5,29.33908379
"Census Tract 820.01, Mayaguez ",72097082001,237,227,250,29,28,31,8.07525375
"Census Tract 820.12, Mayaguez ",72097082012,193,185,150,31,30,24,6.17579670
"Census Tract 820.22, Mayaguez ",72097082022,250,226,200,41,37,33,6.11751972
"Census Tract 821.02, Mayaguez ",72097082102,253,232,200,120,110,95,2.10866206
"Census Tract 821.03, Mayaguez ",72097082103,305,279,250,171,156,140,1.78713757
"Census Tract 821.04, Mayaguez ",72097082104,198,185,150,377,352,286,0.52508611
"Census Tract 9900, Mayaguez ",72097990000,0,0,0,0,0,0,0.00023374
"Census Tract 4201, Moca ",72099420100,281,267,300,7,7,8,38.30685191
"Census Tract 4202, Moca ",72099420200,277,272,250,36,35,32,7.75187880
"Census Tract 4203.01, Moca ",72099420301,202,199,200,14,14,14,14.52238973
"Census Tract 4203.02, Moca ",72099420302,256,243,250,41,38,40,6.31231813
"Census Tract 4204.01, Moca ",72099420401,239,248,250,39,41,41,6.08884551
"Census Tract 4204.02, Moca ",72099420402,322,258,250,14,11,11,23.45148623
"Census Tract 4205, Moca ",72099420500,236,217,250,7,6,7,34.00626033
"Census Tract 9552.01, Morovis ",72101955201,299,291,300,38,37,38,7.82920003
"Census Tract 5606, Vega Baja ",72145560600,201,171,200,17,15,17,11.65921228
"Census Tract 5607.01, Vega Baja ",72145560701,241,228,200,77,72,64,3.14808444
"Census Tract 5607.02, Vega Baja ",72145560702,212,184,200,19,16,18,11.20722317
"Census Tract 5608.01, Vega Baja ",72145560801,156,124,150,38,31,37,4.05435103
"Census Tract 5608.02, Vega Baja ",72145560802,238,187,200,25,19,21,9.69868102
"Census Tract 5609, Vega Baja ",72145560900,315,295,300,10,9,9,32.44498884
"Census Tract 9505, Vieques ",72147950500,141,109,100,2,2,1,71.19742461
"Census Tract 9506, Vieques ",72147950600,174,171,200,2,2,3,71.99359989
"Census Tract 7201, Villalba ",72149720100,322,301,300,6,6,6,50.41648001
"Census Tract 7203, Villalba ",72149720300,393,368,300,32,30,25,12.14396273
"Census Tract 7204, Villalba ",72149720400,249,236,200,298,283,239,0.83534480
