NAME,GEOID,totpop_16,totpop_17,totpop_18
"Census Tract 9900, Yabucoa Municipio, Puerto Rico",72151990000,0,0,0
"Census Tract 7501.01, Yauco Municipio, Puerto Rico",72153750101,150,138,150
"Census Tract 7501.02, Yauco Municipio, Puerto Rico",72153750102,183,165,150
"Census Tract 7502.01, Yauco Municipio, Puerto Rico",72153750201,193,164,150
"Census Tract 7502.02, Yauco Municipio, Puerto Rico",72153750202,217,196,200
"Census Tract 7503, Yauco Municipio, Puerto Rico",72153750300,253,233,200
"Census Tract 7504, Yauco Municipio, Puerto Rico",72153750400,188,175,150
"Census Tract 7505.01, Yauco Municipio, Puerto Rico",72153750501,375,339,350
"Census Tract 7505.02, Yauco Municipio, Puerto Rico",72153750502,208,214,250
"Census Tract 7505.03, Yauco Municipio, Puerto Rico",72153750503,213,187,200
"Census Tract 7506.01, Yauco Municipio, Puerto Rico",72153750601,256,218,200
"Census Tract 7506.02, Yauco Municipio, Puerto Rico",72153750602,159,155,150
"Census Tract 9552.02, Morovis Municipio, Puerto Rico",72101955202,325,309,300
"Census Tract 9553, Morovis Municipio, Puerto Rico",72101955300,303,282,300
"Census Tract 9554.01, Morovis Municipio, Puerto Rico",72101955401,236,240,250
"Census Tract 9554.02, Morovis Municipio, Puerto Rico",72101955402,201,209,200
"Census Tract 9555, Morovis Municipio, Puerto Rico",72101955500,254,247,200
"Census Tract 1701, Naguabo Municipio, Puerto Rico",72103170100,226,193,200
"Census Tract 1702, Naguabo Municipio, Puerto Rico",72103170200,259,223,250
"Census Tract 1703, Naguabo Municipio, Puerto Rico",72103170300,185,191,200
"Census Tract 1704, Naguabo Municipio, Puerto Rico",72103170400,257,230,250
"Census Tract 9900.13, Naguabo Municipio, Puerto Rico",72103990013,0,0,0
"Census Tract 5201, Naranjito Municipio, Puerto Rico",72105520100,342,299,250
"Census Tract 5202, Naranjito Municipio, Puerto Rico",72105520200,318,281,250
"Census Tract 5203, Naranjito Municipio, Puerto Rico",72105520300,249,235,200
"Census Tract 5204, Naranjito Municipio, Puerto Rico",72105520400,312,278,250
"Census Tract 5205, Naranjito Municipio, Puerto Rico",72105520500,305,265,250
"Census Tract 9548.01, Orocovis Municipio, Puerto Rico",72107954801,243,219,200
"Census Tract 9548.02, Orocovis Municipio, Puerto Rico",72107954802,165,152,150
"Census Tract 9549.01, Orocovis Municipio, Puerto Rico",72107954901,222,193,200
"Census Tract 9549.02, Orocovis Municipio, Puerto Rico",72107954902,210,196,200
"Census Tract 9550.01, Orocovis Municipio, Puerto Rico",72107955001,327,303,300
"Census Tract 9550.02, Orocovis Municipio, Puerto Rico",72107955002,200,177,200
"Census Tract 9551, Orocovis Municipio, Puerto Rico",72107955100,209,195,200
"Census Tract 2901, Patillas Municipio, Puerto Rico",72109290100,205,194,200
"Census Tract 2902, Patillas Municipio, Puerto Rico",72109290200,217,193,150
"Census Tract 2903, Patillas Municipio, Puerto Rico",72109290300,301,288,300
"Census Tract 2904, Patillas Municipio, Puerto Rico",72109290400,222,197,200
"Census Tract 9900, Patillas Municipio, Puerto Rico",72109990000,0,0,0
"Census Tract 7301, Pe?uelas Municipio, Puerto Rico",72111730100,385,314,300
"Census Tract 7302, Pe?uelas Municipio, Puerto Rico",72111730200,266,242,250
"Census Tract 7303, Pe?uelas Municipio, Puerto Rico",72111730300,313,258,250
"Census Tract 7304, Pe?uelas Municipio, Puerto Rico",72111730400,267,241,250
"Census Tract 7307, Pe?uelas Municipio, Puerto Rico",72111730700,285,279,250
"Census Tract 7308, Pe?uelas Municipio, Puerto Rico",72111730800,200,191,200
"Census Tract 9900, Pe?uelas Municipio, Puerto Rico",72111990000,0,0,0
"Census Tract 701, Ponce Municipio, Puerto Rico",72113070100,332,332,300
"Census Tract 702.01, Ponce Municipio, Puerto Rico",72113070201,222,187,200
"Census Tract 702.02, Ponce Municipio, Puerto Rico",72113070202,162,129,100
"Census Tract 703, Ponce Municipio, Puerto Rico",72113070300,204,190,200
"Census Tract 704, Ponce Municipio, Puerto Rico",72113070400,166,171,150
"Census Tract 705.02, Ponce Municipio, Puerto Rico",72113070502,276,253,250
"Census Tract 705.03, Ponce Municipio, Puerto Rico",72113070503,310,285,300
"Census Tract 705.13, Ponce Municipio, Puerto Rico",72113070513,211,190,200
"Census Tract 705.14, Ponce Municipio, Puerto Rico",72113070514,214,202,200
"Census Tract 705.22, Ponce Municipio, Puerto Rico",72113070522,251,227,250
"Census Tract 708, Ponce Municipio, Puerto Rico",72113070800,177,150,150
"Census Tract 709, Ponce Municipio, Puerto Rico",72113070900,153,129,100
"Census Tract 710, Ponce Municipio, Puerto Rico",72113071000,186,176,150
"Census Tract 712, Ponce Municipio, Puerto Rico",72113071200,183,172,150
"Census Tract 713, Ponce Municipio, Puerto Rico",72113071300,262,239,250
"Census Tract 714.01, Ponce Municipio, Puerto Rico",72113071401,292,277,300
"Census Tract 714.02, Ponce Municipio, Puerto Rico",72113071402,330,284,300
"Census Tract 715, Ponce Municipio, Puerto Rico",72113071500,296,259,250
