NAME,GEOID,SOCIOECON_18,HSECOMP_18,MINLANG_18,HSETRANS_18,OVERALL_18
"Census Tract 5502, Vega Alta Municipio, Puerto Rico",72143550200,0.7655,0.6274,0.6749,0.6942,0.8244
"Census Tract 2102.01, Gurabo Municipio, Puerto Rico",72063210201,0.1947,0.4394,0.0996,0.0973,0.0679
"Census Tract 1220.01, Toa Baja Municipio, Puerto Rico",72137122001,0.2876,0.1223,0.2106,0.6806,0.1913
"Census Tract 4003, Aguadilla Municipio, Puerto Rico",72005400300,0.0962,0.1687,0.0079,0.7066,0.103
"Census Tract 726, Ponce Municipio, Puerto Rico",72113072600,0.761,0.6693,0.9954,0.4031,0.8539
"Census Tract 91.22, San Juan Municipio, Puerto Rico",72127009122,0.0385,0.3238,0.1257,0.1438,0.0385
"Census Tract 318, Bayam�n Municipio, Puerto Rico",72021031800,0.2831,0.496,0.231,0.7723,0.3805
"Census Tract 9511, Yabucoa Municipio, Puerto Rico",72151951100,0.6319,0.6217,0.7757,0.2559,0.6342
"Census Tract 5004.01, Juncos Municipio, Puerto Rico",72077500401,0.5685,0.5968,0.5764,0.7508,0.7168
"Census Tract 310.32, Bayam�n Municipio, Puerto Rico",72021031032,0.0294,0.0339,0.1642,0.5605,0.0622
"Census Tract 501.06, Carolina Municipio, Puerto Rico",72031050106,0.0113,0.0962,0.0056,0.4609,0.0339
"Census Tract 1401.01, Luquillo Municipio, Puerto Rico",72089140101,0.4122,0.4835,0.2027,0.1121,0.1732
"Census Tract 80.02, San Juan Municipio, Puerto Rico",72127008002,0.4869,0.8561,0.5662,0.906,0.8459
"Census Tract 406.02, Guaynabo Municipio, Puerto Rico",72061040602,0.0407,0.0147,0.009,0.0634,0
"Census Tract 502.22, Carolina Municipio, Puerto Rico",72031050222,0.4337,0.812,0.1936,0.6489,0.5311
"Census Tract 9507, Yabucoa Municipio, Puerto Rico",72151950700,0.9139,0.368,0.9411,0.2604,0.7123
"Census Tract 5802, Florida Municipio, Puerto Rico",72054580200,0.3895,0.5039,0.4801,0.1845,0.2876
"Census Tract 7304, Pe�uelas Municipio, Puerto Rico",72111730400,0.4552,0.7259,0.2423,0.6172,0.5118
"Census Tract 2206, San Lorenzo Municipio, Puerto Rico",72129220600,0.6647,0.1732,0.8731,0.2525,0.4767
"Census Tract 3001.01, Arecibo Municipio, Puerto Rico",72013300101,0.1868,0.4699,0.4224,0.1211,0.1698
"Census Tract 501.05, Carolina Municipio, Puerto Rico",72031050105,0.1245,0.1766,0.2785,0.4892,0.1245
"Census Tract 5503, Vega Alta Municipio, Puerto Rico",72143550300,0.7576,0.2582,0.7225,0.2344,0.4813
"Census Tract 4306.02, Aguada Municipio, Puerto Rico",72003430602,0.3646,0.3612,0.1087,0.4416,0.1834
"Census Tract 9570, Utuado Municipio, Puerto Rico",72141957000,0.6251,0.4915,0.6568,0.0158,0.385
"Census Tract 9590, San Sebasti�n Municipio, Puerto Rico",72131959000,0.7519,0.4382,0.4688,0.1143,0.3759
"Census Tract 7102, Juana D�az Municipio, Puerto Rico",72075710200,0.7927,0.6523,0.9886,0.462,0.8742
"Census Tract 9538, Santa Isabel Municipio, Puerto Rico",72133953800,0.2842,0.6772,0.8539,0.5096,0.6591
"Census Tract 601.02, Trujillo Alto Municipio, Puerto Rico",72139060102,0.1053,0.2332,0.1257,0.5515,0.1098
"Census Tract 32, San Juan Municipio, Puerto Rico",72127003200,0.6534,0.2921,0.65,0.9932,0.761
"Census Tract 15, San Juan Municipio, Puerto Rico",72127001500,0.2819,0.1528,0.0351,0.915,0.214
"Census Tract 69, San Juan Municipio, Puerto Rico",72127006900,0.1381,0.6998,0.3069,0.2865,0.2332
"Census Tract 730.06, Ponce Municipio, Puerto Rico",72113073006,0.7134,0.5685,0.7236,0.8255,0.8573
"Census Tract 3003.01, Arecibo Municipio, Puerto Rico",72013300301,0.5084,0.539,0.1947,0.4178,0.325
"Census Tract 4204.01, Moca Municipio, Puerto Rico",72099420401,0.6183,0.3725,0.616,0.291,0.4428
"Census Tract 2205.01, San Lorenzo Municipio, Puerto Rico",72129220501,0.4835,0.0792,0.9252,0.1891,0.3363
"Census Tract 604.03, Trujillo Alto Municipio, Puerto Rico",72139060403,0.0305,0.1336,0.0464,0.1585,0.0169
"Census Tract 26, San Juan Municipio, Puerto Rico",72127002600,0.7157,0.0917,0.6953,0.7961,0.6421
"Census Tract 4203.02, Moca Municipio, Puerto Rico",72099420302,0.5028,0.2831,0.2853,0.5288,0.3023
"Census Tract 716.01, Ponce Municipio, Puerto Rico",72113071601,0.3125,0.4439,0.3578,0.24,0.2049
"Census Tract 96.02, San Juan Municipio, Puerto Rico",72127009602,0.0804,0.1325,0.1823,0.9184,0.1959
"Census Tract 3002, Arecibo Municipio, Puerto Rico",72013300200,0.59,0.3171,0.6953,0.1868,0.385
"Census Tract 9801.03, San Juan Municipio, Puerto Rico",72127980103,0.983,0.7134,0.9977,0.4654,0.9399
"Census Tract 603.01, Trujillo Alto Municipio, Puerto Rico",72139060301,0.0498,0.3601,0.3227,0.5209,0.1823
"Census Tract 9508, Yabucoa Municipio, Puerto Rico",72151950800,0.8618,0.3952,0.9105,0.5764,0.8165
"Census Tract 1307.02, R�o Grande Municipio, Puerto Rico",72119130702,0.5537,0.5685,0.6693,0.2978,0.5322
"Census Tract 3304, Quebradillas Municipio, Puerto Rico",72115330400,0.3442,0.3454,0.8369,0.3737,0.4462
"Census Tract 5706, Manat� Municipio, Puerto Rico",72091570600,0.7406,0.6749,0.4031,0.9275,0.8187
"Census Tract 3004, Arecibo Municipio, Puerto Rico",72013300400,0.8437,0.3012,0.6047,0.3227,0.5243
"Census Tract 3017, Arecibo Municipio, Puerto Rico",72013301700,0.5696,0.1483,0.6104,0.1834,0.2706
"Census Tract 310.13, Bayam�n Municipio, Puerto Rico",72021031013,0.0724,0.4043,0.3046,0.6024,0.2129
"Census Tract 4105, Isabela Municipio, Puerto Rico",72071410500,0.342,0.6862,0.0985,0.6851,0.3997
"Census Tract 5003.01, Juncos Municipio, Puerto Rico",72077500301,0.5254,0.325,0.2038,0.1449,0.1687
"Census Tract 5107.01, Toa Alta Municipio, Puerto Rico",72135510701,0.1336,0.0079,0.7168,0.2366,0.137
"Census Tract 86.01, San Juan Municipio, Puerto Rico",72127008601,0.0792,0.1562,0.0656,0.4541,0.0566
"Census Tract 9542, Coamo Municipio, Puerto Rico",72043954200,0.1664,0.6964,0.8154,0.4269,0.5368
"Census Tract 3010, Arecibo Municipio, Puerto Rico",72013301000,0.2027,0.6206,0.4507,0.2265,0.2616
"Census Tract 2024.02, Caguas Municipio, Puerto Rico",72025202402,0.0758,0.0328,0.4054,0.9105,0.2287
"Census Tract 602.11, Trujillo Alto Municipio, Puerto Rico",72139060211,0.2423,0.8346,0.4586,0.9648,0.7214
"Census Tract 81, San Juan Municipio, Puerto Rico",72127008100,0.0203,0.1404,0.2344,0.1732,0.0305
"Census Tract 1101.01, Lo�za Municipio, Puerto Rico",72087110101,0.9331,0.6183,0.9365,0.7972,0.9614
"Census Tract 44, San Juan Municipio, Puerto Rico",72127004400,0.8154,0.2061,0.9071,0.6511,0.7553
"Census Tract 99.02, San Juan Municipio, Puerto Rico",72127009902,0.1347,0.3103,0.1596,0.5662,0.1562
"Census Tract 58, San Juan Municipio, Puerto Rico",72127005800,0.3091,0.4326,0.1177,0.7497,0.3057
"Census Tract 1208, Toa Baja Municipio, Puerto Rico",72137120800,0.1098,0.5254,0.0543,0.8437,0.2763
"Census Tract 5602.01, Vega Baja Municipio, Puerto Rico",72145560201,0.1562,0.7021,0.1053,0.9071,0.4337
"Census Tract 2003.02, Caguas Municipio, Puerto Rico",72025200302,0.0928,0.2083,0.0872,0.1155,0.0249
"Census Tract 9563, Adjuntas Municipio, Puerto Rico",72001956300,0.8901,0.4099,0.9127,0.8674,0.9218
"Census Tract 9560, Jayuya Municipio, Puerto Rico",72073956000,0.4847,0.616,0.7066,0.2684,0.5266
"Census Tract 4013.01, Aguadilla Municipio, Puerto Rico",72005401301,0.8493,0.864,0.6308,0.7893,0.9331
"Census Tract 9572, Utuado Municipio, Puerto Rico",72141957200,0.8142,0.3295,0.6409,0.18,0.4779
"Census Tract 705.22, Ponce Municipio, Puerto Rico",72113070522,0.325,0.7417,0.6251,0.4949,0.5843
"Census Tract 502.41, Carolina Municipio, Puerto Rico",72031050241,0.0985,0.3952,0.3329,0.5798,0.2231
"Census Tract 52.14, San Juan Municipio, Puerto Rico",72127005214,0.5979,0.7995,0.4597,0.8267,0.795
"Census Tract 46, San Juan Municipio, Puerto Rico",72127004600,0.8652,0.5243,0.3171,0.8063,0.727
"Census Tract 5105.02, Toa Alta Municipio, Puerto Rico",72135510502,0.1879,0.3488,0.65,0.3012,0.2536
"Census Tract 4005.02, Aguadilla Municipio, Puerto Rico",72005400502,0.5379,0.1981,0.2083,0.6081,0.2842
"Census Tract 3003.02, Arecibo Municipio, Puerto Rico",72013300302,0.3295,0.6058,0.2038,0.5322,0.3306
"Census Tract 4202, Moca Municipio, Puerto Rico",72099420200,0.6885,0.5175,0.4824,0.5866,0.6251
"Census Tract 310.23, Bayam�n Municipio, Puerto Rico",72021031023,0.1426,0.6942,0.3714,0.1053,0.1947
"Census Tract 505.01, Carolina Municipio, Puerto Rico",72031050501,0.1121,0.1936,0.2921,0.351,0.0973
"Census Tract 90, San Juan Municipio, Puerto Rico",72127009000,0.8731,0.7848,0.6081,0.9479,0.9479
"Census Tract 316.21, Bayam�n Municipio, Puerto Rico",72021031621,0.2774,0.1121,0.3272,0.1925,0.0883
"Census Tract 9577, Lares Municipio, Puerto Rico",72081957700,0.9637,0.3408,0.6976,0.1936,0.5922
"Census Tract 317.04, Bayam�n Municipio, Puerto Rico",72021031704,0.1766,0.1494,0.5039,0.1993,0.1109
"Census Tract 601.03, Trujillo Alto Municipio, Puerto Rico",72139060103,0.214,0.6908,0.65,0.9433,0.7191
"Census Tract 1106, Lo�za Municipio, Puerto Rico",72087110600,0.8199,0.0158,0.9716,0.4926,0.6432
"Census Tract 85, San Juan Municipio, Puerto Rico",72127008500,0.1075,0.6013,0.0407,0.6568,0.2208
"Census Tract 5606, Vega Baja Municipio, Puerto Rico",72145560600,0.7044,0.4348,0.3997,0.3635,0.4484
"Census Tract 1002, Can�vanas Municipio, Puerto Rico",72029100200,0.3261,0.5232,0.5639,0.7587,0.5764
"Census Tract 84, San Juan Municipio, Puerto Rico",72127008400,0.1959,0.1959,0.257,0.7349,0.2117
"Census Tract 99.01, San Juan Municipio, Puerto Rico",72127009901,0.0713,0.9127,0.1223,0.4665,0.2899
"Census Tract 605.01, Trujillo Alto Municipio, Puerto Rico",72139060501,0.3578,0.5492,0.6681,0.6036,0.5798
"Census Tract 314.02, Bayam�n Municipio, Puerto Rico",72021031402,0.4824,0.8708,0.3386,0.7814,0.7112
"Census Tract 7401.01, Guayanilla Municipio, Puerto Rico",72059740101,0.8607,0.6036,0.7814,0.0441,0.6375
"Census Tract 45, San Juan Municipio, Puerto Rico",72127004500,0.6217,0.1392,0.7587,0.5334,0.5175
"Census Tract 65, San Juan Municipio, Puerto Rico",72127006500,0.0509,0.1166,0.0135,0.5469,0.0532
"Census Tract 403.04, Guaynabo Municipio, Puerto Rico",72061040304,0.0181,0.0577,0.0917,0.1902,0.0113
"Census Tract 501.07, Carolina Municipio, Puerto Rico",72031050107,0.0011,0.12,0.0067,0.5232,0.043
"Census Tract 5106.01, Toa Alta Municipio, Puerto Rico",72135510601,0.0838,0.2265,0.2593,0.8187,0.2151
"Census Tract 82.01, San Juan Municipio, Puerto Rico",72127008201,0.9954,0.7701,0.624,0.4733,0.8663
"Census Tract 404.42, Guaynabo Municipio, Puerto Rico",72061040442,0.0135,0.0781,0.2514,0.5254,0.0838
"Census Tract 404.22, Guaynabo Municipio, Puerto Rico",72061040422,0.0906,0.2808,0.0713,0.7168,0.1494
"Census Tract 9527, Salinas Municipio, Puerto Rico",72123952700,0.7848,0.4201,0.8516,0.7734,0.855
"Census Tract 18, San Juan Municipio, Puerto Rico",72127001800,0.1143,0.146,0.0249,0.7984,0.1336
"Census Tract 3303, Quebradillas Municipio, Puerto Rico",72115330300,0.5922,0.505,0.2967,0.0498,0.2366
"Census Tract 721.01, Ponce Municipio, Puerto Rico",72113072101,0.7972,0.9275,0.6455,0.975,0.9705
"Census Tract 28, San Juan Municipio, Puerto Rico",72127002800,0.7315,0.0135,0.5787,0.6523,0.4835
"Census Tract 1007, Can�vanas Municipio, Puerto Rico",72029100700,0.8448,0.2287,0.7972,0.3793,0.616
"Census Tract 7504, Yauco Municipio, Puerto Rico",72153750400,0.419,0.1426,0.5368,0.7383,0.4133
"Census Tract 9581, Lares Municipio, Puerto Rico",72081958100,0.6738,0.6455,0.6364,0.7553,0.8052
"Census Tract 501.10, Carolina Municipio, Puerto Rico",72031050110,0.1936,0.1143,0.0532,0.2185,0.0351
"Census Tract 86.02, San Juan Municipio, Puerto Rico",72127008602,0.0634,0.3284,0.0158,0.6421,0.1211
"Census Tract 83, San Juan Municipio, Puerto Rico",72127008300,0.2412,0.0973,0.2095,0.8403,0.2163
"Census Tract 1219, Toa Baja Municipio, Puerto Rico",72137121900,0.3669,0.2514,0.3171,0.1404,0.1302
"Census Tract 1224, Toa Baja Municipio, Puerto Rico",72137122400,0.5152,0.6738,0.1426,0.7621,0.5345
"Census Tract 323.01, Bayam�n Municipio, Puerto Rico",72021032301,0.0611,0.4077,0.3601,0.2457,0.1279
"Census Tract 1001.04, Can�vanas Municipio, Puerto Rico",72029100104,0.9841,0.5583,0.9377,0.6104,0.9229
"Census Tract 50, San Juan Municipio, Puerto Rico",72127005000,0.8471,0.8697,0.3374,0.855,0.8788
"Census Tract 710, Ponce Municipio, Puerto Rico",72113071000,0.9445,0.9445,0.5696,0.7281,0.9467
"Census Tract 9593, San Sebasti�n Municipio, Puerto Rico",72131959300,0.8323,0.5956,0.6602,0.6828,0.8278
"Census Tract 403.01, Guaynabo Municipio, Puerto Rico",72061040301,0.0079,0.2468,0.0736,0.0804,0.0215
"Census Tract 722.01, Ponce Municipio, Puerto Rico",72113072201,0.4654,0.8459,0.6274,0.8425,0.8301
"Census Tract 702.01, Ponce Municipio, Puerto Rico",72113070201,0.5741,0.7576,0.6534,0.0181,0.4971
"Census Tract 1218.02, Toa Baja Municipio, Puerto Rico",72137121802,0.505,0.599,0.3669,0.0362,0.2684
"Census Tract 2015, Caguas Municipio, Puerto Rico",72025201500,0.2242,0.9252,0.4303,0.8199,0.6817
"Census Tract 9564, Adjuntas Municipio, Puerto Rico",72001956400,0.9184,0.3204,0.8063,0.3476,0.6783
"Census Tract 5801, Florida Municipio, Puerto Rico",72054580100,0.6285,0.4586,0.4835,0.2174,0.3827
"Census Tract 100.22, San Juan Municipio, Puerto Rico",72127010022,0.0328,0.2389,0.1778,0.3533,0.0645
"Census Tract 5505, Vega Alta Municipio, Puerto Rico",72143550500,0.4258,0.0611,0.5503,0.9852,0.5028
"Census Tract 3007, Arecibo Municipio, Puerto Rico",72013300700,0.7021,0.8187,0.1664,0.881,0.7519
"Census Tract 9554.01, Morovis Municipio, Puerto Rico",72101955401,0.4688,0.2785,0.5368,0.0203,0.1925
"Census Tract 301.03, Bayam�n Municipio, Puerto Rico",72021030103,0.4971,0.7644,0.0962,0.8391,0.5934
"Census Tract 9579, Lares Municipio, Puerto Rico",72081957900,0.9263,0.4869,0.9309,0.6761,0.9037
"Census Tract 1006.01, Can�vanas Municipio, Puerto Rico",72029100601,0.6432,0.2004,0.5084,0.3204,0.3329
"Census Tract 33, San Juan Municipio, Puerto Rico",72127003300,0.6296,0.0906,0.7995,0.6126,0.5583
"Census Tract 80.01, San Juan Municipio, Puerto Rico",72127008001,0.2638,0.6409,0.2412,0.8946,0.5107
"Census Tract 7101.02, Juana D�az Municipio, Puerto Rico",72075710102,0.53,0.5209,0.9546,0.1766,0.5809
"Census Tract 723, Ponce Municipio, Puerto Rico",72113072300,0.9479,0.2842,0.9671,0.5956,0.838
"Census Tract 61.02, San Juan Municipio, Puerto Rico",72127006102,0.4439,0.342,0.0634,1,0.4258
"Census Tract 3012, Arecibo Municipio, Puerto Rico",72013301200,0.8108,0.5922,0.522,0.7599,0.7961
"Census Tract 12, San Juan Municipio, Puerto Rico",72127001200,0.0362,0.1721,0.0022,0.8867,0.1381
"Census Tract 89, San Juan Municipio, Puerto Rico",72127008900,0.949,0.1664,0.6795,0.7655,0.7463
"Census Tract 3205, Camuy Municipio, Puerto Rico",72027320500,0.8018,0.6477,0.8527,0.744,0.9139
"Census Tract 9533, Santa Isabel Municipio, Puerto Rico",72133953300,0.0996,0.4552,0.2695,0.043,0.0826
"Census Tract 3022.01, Arecibo Municipio, Puerto Rico",72013302201,0.7961,0.7236,0.6613,0.0724,0.6183
"Census Tract 1506.01, Fajardo Municipio, Puerto Rico",72053150601,0.8244,0.8142,0.6466,0.8097,0.9241
"Census Tract 37, San Juan Municipio, Puerto Rico",72127003700,0.9535,0.2344,0.8686,0.7519,0.8437
"Census Tract 91.23, San Juan Municipio, Puerto Rico",72127009123,0.0124,0.3646,0.0124,0.1325,0.0271
"Census Tract 93, San Juan Municipio, Puerto Rico",72127009300,0.872,0.18,0.8901,0.9614,0.8765
"Census Tract 100.42, San Juan Municipio, Puerto Rico",72127010042,0.1551,0.2819,0.428,0.6285,0.2548
"Census Tract 5504, Vega Alta Municipio, Puerto Rico",72143550400,0.838,0.7542,0.3963,0.7768,0.8255
"Census Tract 9568, Adjuntas Municipio, Puerto Rico",72001956800,0.8346,0.3193,0.9252,0.3171,0.6795
"Census Tract 3206, Camuy Municipio, Puerto Rico",72027320600,0.9161,0.5605,0.6987,0.4847,0.7825
"Census Tract 7103.02, Juana D�az Municipio, Puerto Rico",72075710302,0.2729,0.2049,0.5232,0.4428,0.2378
"Census Tract 9546, Coamo Municipio, Puerto Rico",72043954600,0.3861,0.71,0.684,0.0747,0.4292
"Census Tract 1205, Toa Baja Municipio, Puerto Rico",72137120500,0.1109,0.2933,0.0826,0.0215,0.026
"Census Tract 9557, Ciales Municipio, Puerto Rico",72039955700,0.9093,0.9037,0.5866,0.3952,0.838
"Census Tract 505.04, Carolina Municipio, Puerto Rico",72031050504,0.1653,0.7565,0.2265,0.8323,0.4858
"Census Tract 3301, Quebradillas Municipio, Puerto Rico",72115330100,0.4269,0.197,0.5651,0.0928,0.1857
"Census Tract 403.03, Guaynabo Municipio, Puerto Rico",72061040303,0.0169,0.2197,0.0475,0.2378,0.0283
"Census Tract 9532, Salinas Municipio, Puerto Rico",72123953200,0.5436,0.7146,0.616,0.0962,0.4801
"Census Tract 4205, Moca Municipio, Puerto Rico",72099420500,0.9796,0.2253,0.761,0.3103,0.6262
"Census Tract 2026.02, Caguas Municipio, Puerto Rico",72025202602,0.2944,0.5458,0.1902,0.3997,0.2321
"Census Tract 5701, Manat� Municipio, Puerto Rico",72091570100,0.7259,0.906,0.3839,0.7995,0.8471
"Census Tract 5707, Manat� Municipio, Puerto Rico",72091570700,0.838,0.3657,0.5345,0.4699,0.5956
"Census Tract 8504, Lajas Municipio, Puerto Rico",72079850400,0.8267,0.7599,0.8029,0.9728,0.9739
"Census Tract 9552.01, Morovis Municipio, Puerto Rico",72101955201,0.7734,0.7904,0.8731,0.5855,0.9048
"Census Tract 101, San Juan Municipio, Puerto Rico",72127010100,0.1438,0.3227,0.0362,0.5096,0.1087
"Census Tract 4013.02, Aguadilla Municipio, Puerto Rico",72005401302,0.5469,0.1574,0.24,0.0169,0.1007
"Census Tract 52.04, San Juan Municipio, Puerto Rico",72127005204,0.2661,0.3782,0.2276,0.1845,0.1223
"Census Tract 2204.02, San Lorenzo Municipio, Puerto Rico",72129220402,0.24,0.5787,0.727,0.616,0.573
"Census Tract 76, San Juan Municipio, Puerto Rico",72127007600,0.2616,0.1947,0.4745,0.4156,0.2027
"Census Tract 5506.01, Vega Alta Municipio, Puerto Rico",72143550601,0.8052,0.3793,0.4258,0.5775,0.5855
"Census Tract 3022.02, Arecibo Municipio, Puerto Rico",72013302202,0.1732,0.3001,0.6194,0.3895,0.2525
"Census Tract 1307.01, R�o Grande Municipio, Puerto Rico",72119130701,0.6568,0.0169,0.9026,0.889,0.7055
"Census Tract 102, San Juan Municipio, Puerto Rico",72127010200,0.2785,0.1426,0.274,0.2616,0.0985
"Census Tract 1102, Lo�za Municipio, Puerto Rico",72087110200,0.9524,0.8165,0.9784,0.9535,0.9977
"Census Tract 9539, Coamo Municipio, Puerto Rico",72043953900,0.727,0.0656,0.983,0.5707,0.6681
"Census Tract 5703, Manat� Municipio, Puerto Rico",72091570300,0.9116,0.6511,0.3103,0.9988,0.8686
"Census Tract 9574, Utuado Municipio, Puerto Rico",72141957400,0.9694,0.9071,0.7995,0.496,0.9422
"Census Tract 79, San Juan Municipio, Puerto Rico",72127007900,0.0226,0.2944,0.0419,0.2004,0.0294
"Census Tract 1203, Toa Baja Municipio, Puerto Rico",72137120300,0.2627,0.4178,0.3646,0.3374,0.2106
"Census Tract 3013, Arecibo Municipio, Puerto Rico",72013301300,0.9716,0.8278,0.4303,0.9048,0.9343
"Census Tract 3203, Camuy Municipio, Puerto Rico",72027320300,0.5175,0.0611,0.8131,0.2027,0.3012
"Census Tract 9553, Morovis Municipio, Puerto Rico",72101955300,0.6104,0.8312,0.5866,0.4643,0.7168
"Census Tract 56.02, San Juan Municipio, Puerto Rico",72127005602,0.6715,0.9105,0.1121,0.9773,0.7927
"Census Tract 22, San Juan Municipio, Puerto Rico",72127002200,0.3771,0.2763,0.4088,0.7078,0.3737
"Census Tract 5708, Manat� Municipio, Puerto Rico",72091570800,0.4371,0.3442,0.4654,0.5628,0.3975
"Census Tract 705.02, Ponce Municipio, Puerto Rico",72113070502,0.3635,0.5571,0.59,0.4439,0.4699
"Census Tract 404.03, Guaynabo Municipio, Puerto Rico",72061040403,0.0679,0.7066,0.0815,0.5503,0.2219
"Census Tract 2207, San Lorenzo Municipio, Puerto Rico",72129220700,0.7904,0.1189,0.9513,0.0951,0.4722
"Census Tract 2021, Caguas Municipio, Puerto Rico",72025202100,0.2321,0.5436,0.4473,0.8346,0.5198
"Census Tract 2801.01, Arroyo Municipio, Puerto Rico",72015280101,0.6477,0.3544,0.8323,0.2785,0.5447
"Census Tract 7110.02, Juana D�az Municipio, Puerto Rico",72075711002,0.8946,0.6126,0.9071,0.3861,0.8403
"Census Tract 5101.02, Toa Alta Municipio, Puerto Rico",72135510102,0.7599,0.2129,0.6013,0.7689,0.6659
"Census Tract 1103.02, Lo�za Municipio, Puerto Rico",72087110302,0.5424,0.2797,0.975,0.3352,0.5571
"Census Tract 1402.02, Luquillo Municipio, Puerto Rico",72089140202,0.2751,0.5503,0.4462,0.1087,0.2095
"Census Tract 1211, Toa Baja Municipio, Puerto Rico",72137121100,0.6636,0.4043,0.8346,0.6772,0.7553
"Census Tract 502.11, Carolina Municipio, Puerto Rico",72031050211,0.163,0.65,0.2729,0.6466,0.3567
"Census Tract 5001, Juncos Municipio, Puerto Rico",72077500100,0.9116,0.4246,0.2876,0.9003,0.7327
"Census Tract 8305.04, Cabo Rojo Municipio, Puerto Rico",72023830504,0.9377,0.4144,0.7259,0.3397,0.6885
"Census Tract 5106.02, Toa Alta Municipio, Puerto Rico",72135510602,0.2208,0.359,0.5843,0.0679,0.18
"Census Tract 78, San Juan Municipio, Puerto Rico",72127007800,0.3725,0.6636,0.163,0.8607,0.5209
"Census Tract 405, Guaynabo Municipio, Puerto Rico",72061040500,0.3193,0.4597,0.0622,0.4835,0.1993
"Census Tract 403.02, Guaynabo Municipio, Puerto Rico",72061040302,0.0554,0.2015,0.1007,0.5039,0.0792
"Census Tract 2003.04, Caguas Municipio, Puerto Rico",72025200304,0.1596,0.7689,0.1064,0.0124,0.12
"Census Tract 9522.01, Barranquitas Municipio, Puerto Rico",72019952201,0.5968,0.6432,0.992,0.9886,0.9501
"Census Tract 9552.02, Morovis Municipio, Puerto Rico",72101955202,0.5209,0.2412,0.6285,0.1483,0.2808
"Census Tract 1210.02, Toa Baja Municipio, Puerto Rico",72137121002,0.1234,0.4224,0.2219,0.069,0.069
"Census Tract 4004, Aguadilla Municipio, Puerto Rico",72005400400,0.693,0.5889,0.1528,0.8154,0.6172
"Census Tract 4012, Aguadilla Municipio, Puerto Rico",72005401200,0.3227,0.6466,0.1698,0.0328,0.1574
"Census Tract 3021, Arecibo Municipio, Puerto Rico",72013302100,0.6342,0.154,0.6557,0.3771,0.4031
"Census Tract 716.02, Ponce Municipio, Puerto Rico",72113071602,0.9411,0.6942,0.6477,0.8618,0.9365
"Census Tract 720, Ponce Municipio, Puerto Rico",72113072000,0.1223,0.2661,0.2514,0.2253,0.0804
"Census Tract 5103, Toa Alta Municipio, Puerto Rico",72135510300,0.308,0.6727,0.4937,0.7678,0.6138
"Census Tract 73, San Juan Municipio, Puerto Rico",72127007300,0.052,0.3827,0.0758,0.3929,0.0872
"Census Tract 2702.02, Guayama Municipio, Puerto Rico",72057270202,0.6421,0.1313,0.6092,0.4971,0.4394
"Census Tract 508.31, Carolina Municipio, Puerto Rico",72031050831,0.4144,0.4722,0.7327,0.2627,0.4405
"Census Tract 51.03, San Juan Municipio, Puerto Rico",72127005103,0.7882,0.8335,0.5254,0.9513,0.9263
"Census Tract 2023, Caguas Municipio, Puerto Rico",72025202300,0.2332,0.8369,0.6761,0.197,0.4665
"Census Tract 1902.01, Las Piedras Municipio, Puerto Rico",72085190201,0.7372,0.8493,0.4439,0.3114,0.6636
"Census Tract 508.21, Carolina Municipio, Puerto Rico",72031050821,0.265,0.7417,0.1347,0.3816,0.274
"Census Tract 3019, Arecibo Municipio, Puerto Rico",72013301900,0.8459,0.1517,0.8097,0.7032,0.7248
"Census Tract 3016, Arecibo Municipio, Puerto Rico",72013301600,0.5753,0.2718,0.3748,0.274,0.2582
"Census Tract 2802.01, Arroyo Municipio, Puerto Rico",72015280201,0.3805,0.6715,0.5334,0.2038,0.385
"Census Tract 9536, Santa Isabel Municipio, Puerto Rico",72133953600,0.2559,0.7757,0.3533,0.5345,0.4609
"Census Tract 602.23, Trujillo Alto Municipio, Puerto Rico",72139060223,0.1415,0.445,0.7372,0.7938,0.5481
"Census Tract 9580, Lares Municipio, Puerto Rico",72081958000,0.7825,0.2695,0.9139,0.0872,0.5186
"Census Tract 503.21, Carolina Municipio, Puerto Rico",72031050321,0.2593,0.8527,0.1472,0.3522,0.3091
"Census Tract 8501.01, Lajas Municipio, Puerto Rico",72079850101,0.9365,0.2298,0.5617,0.4201,0.5696
"Census Tract 8306.03, Cabo Rojo Municipio, Puerto Rico",72023830603,0.8697,0.6308,0.2129,0.9014,0.7701
"Census Tract 204.23, Cata�o Municipio, Puerto Rico",72033020423,0.3374,0.2559,0.3352,0.5832,0.2706
"Census Tract 204.26, Cata�o Municipio, Puerto Rico",72033020426,0.9988,0.8289,0.8844,0.5956,0.9648
"Census Tract 9561, Jayuya Municipio, Puerto Rico",72073956100,0.5628,0.8788,0.7576,0.9411,0.9354
"Census Tract 2024.04, Caguas Municipio, Puerto Rico",72025202404,0.086,0.6375,0.7621,0.2423,0.3556
"Census Tract 49, San Juan Municipio, Puerto Rico",72127004900,0.9626,0.8391,0.8686,0.8912,0.9943
"Census Tract 60, San Juan Municipio, Puerto Rico",72127006000,0.8584,0.1585,0.8142,0.8335,0.7859
"Census Tract 2705, Guayama Municipio, Puerto Rico",72057270500,0.1902,0.2548,0.5288,0.1007,0.1268
"Census Tract 100.32, San Juan Municipio, Puerto Rico",72127010032,0.2933,0.9773,0.3499,0.8788,0.7202
"Census Tract 1212, Toa Baja Municipio, Puerto Rico",72137121200,0.8255,0.6761,0.8187,0.3669,0.8006
